Date time,Minimum Temperature,Maximum Temperature,Temperature,Relative Humidity,Precipitation,Conditions
1/1/2000,46.6,57.2,51.2,77.37,0.12,Rain
1/2/2000,45.8,60.3,54.1,44.5,0,Clear
1/3/2000,43,66.1,53,46.14,0.01,Rain
1/4/2000,45.8,68.3,55.4,47.07,0,Clear
1/5/2000,43.8,70.4,56.6,51.36,0,Clear
1/6/2000,43.3,68.2,55.2,44.49,0,Clear
1/7/2000,46.1,64.7,54.1,43.53,0,Clear
1/8/2000,39.6,65.3,52.2,60.68,0,Clear
1/9/2000,42.9,64.2,52.7,69.19,0.01,Rain
1/10/2000,49.5,64.7,55.1,79.41,0,Clear
1/11/2000,51.3,62.1,56.2,80.72,0.01,Rain
1/12/2000,54,63.1,57,78.42,0,Clear
1/13/2000,47.6,77,60.2,61.91,0.02,Rain
1/14/2000,53.2,79.1,64.3,38.85,0,Clear
1/15/2000,58.1,74.1,64.8,39.6,0,Clear
1/16/2000,59.3,64.1,61.4,67.88,0.01,Rain
1/17/2000,58.2,66.2,62.2,77.76,0.03,Rain
1/18/2000,61.4,75.9,66.6,68.28,0,Clear
1/19/2000,55.5,73.2,63.5,73.03,0,Clear
1/20/2000,57.5,69.8,62.3,74.74,0,Clear
1/21/2000,55.7,64.6,58.6,80.29,0,Clear
1/22/2000,53.8,62,56.9,80,0,Clear
1/23/2000,52.1,64.3,57,80.98,0,Clear
1/24/2000,56.6,72.1,63.4,66.91,0.01,Rain
1/25/2000,57.4,62.3,58.7,91.37,0.55,Rain
1/26/2000,52,67.3,59,63.54,0.01,Rain
1/27/2000,48.1,66.6,55.9,68.81,0,Clear
1/28/2000,45.6,69.3,55.7,45.75,0.01,Rain
1/29/2000,45.2,64.9,54.6,43.47,0.02,Rain
1/30/2000,53.3,59.3,55.6,80.73,0.12,Rain
1/31/2000,55.6,63.9,58,78.51,0.05,Rain
2/1/2000,49.3,75.4,60.4,61.38,0.01,Rain
2/2/2000,56.1,79.8,65,36.59,0,Clear
2/3/2000,51.2,74.5,62.5,36.32,0,Clear
2/4/2000,54.3,64,59.5,60.27,0.01,Rain
2/5/2000,55.5,65.2,59.5,77.88,0,Clear
2/6/2000,49.8,73.7,58.4,71.93,0.01,Rain
2/7/2000,51.6,76.1,61.5,65.21,0,Clear
2/8/2000,55.7,70.5,60.9,70.42,0,Clear
2/9/2000,52.8,64,57.6,79.68,0.01,Rain
2/10/2000,53.3,60.2,56.4,88.28,0.33,Rain
2/11/2000,48.7,61.3,55.2,80.49,0.06,Rain
2/12/2000,53.3,61.3,56.8,76.99,0.69,Rain
2/13/2000,53.2,57.8,55.2,87,0.24,Rain
2/14/2000,55.5,64.7,58.9,83.43,0.11,Rain
2/15/2000,55.3,64,58.8,82.34,0,Clear
2/16/2000,48.4,56.3,53.8,89.23,0.59,Rain
2/17/2000,44.2,61.5,53.1,70.78,0,Clear
2/18/2000,48.3,70.5,58.1,59.82,0,Clear
2/19/2000,52.3,76,64.8,33.24,0,Clear
2/20/2000,50.3,62.2,58,74.86,0.72,Rain
2/21/2000,48,54.4,51.3,84.46,1.24,Rain
2/22/2000,50,58.9,54.5,79.11,0,Clear
2/23/2000,48.7,55.4,52.6,85.59,1.1,Rain
2/24/2000,41.9,59.7,51.4,61.99,0,Clear
2/25/2000,49.2,60.8,54.1,72.96,0,Clear
2/26/2000,47.4,64.9,55.5,75.55,0,Clear
2/27/2000,51,56.3,53.7,88.11,0.26,Rain
2/28/2000,44.4,62.5,53.7,68.94,0,Clear
2/29/2000,48.4,61.9,54.8,70.6,0,Clear
3/1/2000,48.4,64.6,55.8,71.39,0,Clear
3/2/2000,47.4,67.6,56.8,65.79,0,Clear
3/3/2000,50.6,61.3,56.4,75.04,0.28,Rain
