Date time,Minimum Temperature,Maximum Temperature,Temperature,Relative Humidity,Precipitation,Conditions
1/1/2000,40.2,44.8,42.6,76.74,0.53,"Rain, Overcast"
1/2/2000,38.7,44.1,40.8,83.14,0.06,"Rain, Overcast"
1/3/2000,39.6,43.9,41.8,93.99,0.39,"Rain, Overcast"
1/4/2000,41.6,48.6,46.3,84.29,0.38,"Rain, Overcast"
1/5/2000,34.4,46.7,41.3,87.47,0.03,"Rain, Partially cloudy"
1/6/2000,30.9,39.4,35.7,95.5,0.09,"Rain, Partially cloudy"
1/7/2000,40.3,50.4,44.7,95.05,0.1,"Rain, Overcast"
1/8/2000,43,50.4,46.3,81.59,0.18,"Rain, Overcast"
1/9/2000,40.7,47.5,44.1,80.81,0.23,"Rain, Overcast"
1/10/2000,36.7,40.9,38.5,92.57,0.3,"Rain, Overcast"
1/11/2000,32.4,38.9,36.4,94.52,0.66,"Rain, Overcast"
1/12/2000,34.7,39.3,37,91.95,0.67,"Rain, Overcast"
1/13/2000,36.7,40.3,38.7,93.95,0.43,"Rain, Overcast"
1/14/2000,35.8,48.1,42.5,84.12,0.22,"Rain, Partially cloudy"
1/15/2000,28.3,41.3,35,90.49,0.2,"Rain, Partially cloudy"
1/16/2000,37.8,49.9,43.2,79.51,0.23,"Rain, Overcast"
1/17/2000,31,47.7,38.1,88.79,0,Partially cloudy
1/18/2000,28.1,42.7,33.6,92.12,0,Partially cloudy
1/19/2000,26.2,43.7,35,86.7,0.18,"Rain, Partially cloudy"
1/20/2000,35.8,42.7,38.3,86.1,0.11,"Rain, Overcast"
1/21/2000,38.3,46.5,41.8,82.29,0.26,"Rain, Overcast"
1/22/2000,33.7,45.2,40.1,81.63,0.05,"Rain, Overcast"
1/23/2000,29.8,43.8,35.7,81.29,0,Partially cloudy
1/24/2000,28.3,42.9,36.3,90.41,0.24,"Rain, Overcast"
1/25/2000,37,43.9,39.9,92.31,0.33,"Rain, Overcast"
1/26/2000,36.6,46.5,41.2,85.53,0,Overcast
1/27/2000,31.7,43,35.7,94.89,0,Partially cloudy
1/28/2000,28.3,48.3,36.4,77.44,0,Clear
1/29/2000,29.7,43.9,36.9,61.61,0,Clear
1/30/2000,35.4,40.5,37.8,63.45,0.01,"Rain, Partially cloudy"
1/31/2000,34.3,43.2,38.2,78.73,0.49,"Rain, Overcast"
2/1/2000,40.3,53.8,47.8,54.48,0.7,"Rain, Overcast"
2/2/2000,42.2,48.5,45.2,87.39,0.13,"Rain, Partially cloudy"
2/3/2000,47.9,55.8,50.7,50.25,0,Partially cloudy
2/4/2000,38.6,52,45.1,66.36,0,Partially cloudy
2/5/2000,38.6,50.8,43.2,79.55,0.22,"Rain, Overcast"
2/6/2000,40.2,49,44.1,83.36,0.02,"Rain, Partially cloudy"
2/7/2000,42,50.1,46,78.53,0.11,"Rain, Partially cloudy"
2/8/2000,38.5,53.1,45.7,89,0.42,"Rain, Overcast"
2/9/2000,33,50.6,40.5,85.15,0,Partially cloudy
2/10/2000,29.2,48.1,39,83.41,0.06,"Rain, Partially cloudy"
2/11/2000,39.3,45.1,42.3,90.73,0.24,"Rain, Overcast"
2/12/2000,33.3,43.3,40.7,92.98,0.36,"Rain, Overcast"
2/13/2000,33.8,44.1,38.5,91.97,0.17,"Rain, Overcast"
2/14/2000,39.6,46.7,42.4,87.28,0.38,"Rain, Overcast"
2/15/2000,37.7,51.3,44,87.39,0.02,"Rain, Overcast"
2/16/2000,30.6,55.5,41.9,77.84,0,Clear
2/17/2000,30,52.6,40.1,75.5,0,Clear
2/18/2000,28.8,48.7,38,84.83,0,Partially cloudy
2/19/2000,27.5,53.2,39.6,71.39,0,Clear
2/20/2000,32.1,50.3,42.1,70.53,0,Partially cloudy
2/21/2000,41.8,44.8,43.1,90.2,0.1,"Rain, Overcast"
2/22/2000,44.1,49.9,46.5,86.64,0.29,"Rain, Overcast"
2/23/2000,37.5,49,43.2,81.52,0,Overcast
2/24/2000,36,49.9,41.6,81.57,0,Partially cloudy
2/25/2000,35.5,43.9,39.7,90.68,0.16,"Rain, Overcast"
2/26/2000,39.6,44.4,42.1,93.91,0.8,"Rain, Overcast"
2/27/2000,39.1,53.3,46.1,89.53,0.19,"Rain, Overcast"
2/28/2000,44.3,48.6,46.4,81.76,0.19,"Rain, Overcast"
2/29/2000,40.1,52,46.4,74.72,0.24,"Rain, Overcast"
3/1/2000,32.6,50.2,43.1,74,0,Partially cloudy
3/2/2000,42.1,51.4,46.1,90.73,0.23,"Rain, Overcast"
3/3/2000,36.8,47.9,43.8,93.11,0.04,"Rain, Partially cloudy"
3/4/2000,40,45.9,43.4,90,0.82,"Rain, Overcast"
3/5/2000,33.5,47,41.1,77.25,0,Partially cloudy
3/6/2000,31.7,48.5,40.1,80.89,0.01,"Rain, Partially cloudy"
3/7/2000,33.8,51.5,42.9,74.01,0,Partially cloudy
3/8/2000,37.3,48.4,44.8,86.76,0.1,"Rain, Overcast"
3/9/2000,35.5,55.5,44.6,81.1,0.01,"Rain, Partially cloudy"
3/10/2000,38.5,54,45.8,80.39,0.23,"Rain, Partially cloudy"
3/11/2000,38,50.1,44.6,82.46,0.11,"Rain, Partially cloudy"
3/12/2000,31.2,53.8,43.2,74.91,0,Partially cloudy
