Date time,Minimum Temperature,Maximum Temperature,Temperature,Relative Humidity,Precipitation,Conditions
1/1/2000,50.5,58.1,54.3,73.71,0.04,"Rain, Overcast"
1/2/2000,49.2,59,55.2,62.72,0,Partially cloudy
1/3/2000,43.9,65.7,53.7,54.57,0,Clear
1/4/2000,45.9,65.5,55.4,53.78,0,Clear
1/5/2000,45.6,62.9,53.2,69.31,0,Clear
1/6/2000,43.8,66.6,54.3,55.33,0,Clear
1/7/2000,44.7,63.1,54.1,57.46,0,Partially cloudy
1/8/2000,42.8,60.3,51.7,75.01,0,Partially cloudy
1/9/2000,42.8,63.2,53.2,68.69,0,Partially cloudy
1/10/2000,44.5,62.1,53.2,75.63,0,Clear
1/11/2000,46.9,57.9,53.3,88.76,0,Partially cloudy
1/12/2000,53,61.1,56.1,86.53,0,Partially cloudy
1/13/2000,48.5,70,59,72.74,0,Partially cloudy
1/14/2000,52.5,75.3,62.7,49.84,0,Partially cloudy
1/15/2000,55.8,67.6,60.4,58.18,0,Partially cloudy
1/16/2000,53,65.6,58.8,70.98,0.02,"Rain, Overcast"
1/17/2000,59,74,65.4,71.58,0,Overcast
1/18/2000,59.7,73.4,66.4,63.38,0,Overcast
1/19/2000,55.8,72.7,62.6,74.49,0,Partially cloudy
1/20/2000,58.3,68.9,61.3,84.89,0,Partially cloudy
1/21/2000,56.2,61.5,58.6,83.69,0,Overcast
1/22/2000,53.5,62,57.2,79.72,0,Partially cloudy
1/23/2000,48,65,57.5,79.65,0,Partially cloudy
1/24/2000,57.5,75.1,64.9,65.7,0,Partially cloudy
1/25/2000,57.3,62.7,60.3,84.57,0.03,"Rain, Overcast"
1/26/2000,50.1,62.1,58.2,84.56,0.01,"Rain, Partially cloudy"
1/27/2000,47.3,63.6,55.3,82.62,0.05,Rain
1/28/2000,46.9,60.6,54.3,82.96,0,Partially cloudy
1/29/2000,47.6,61,55.2,85.96,0,Partially cloudy
1/30/2000,51.8,61.1,57.3,80.25,0,Overcast
1/31/2000,53.6,61,57.7,86.88,0.08,"Rain, Overcast"
2/1/2000,49.3,70.4,59.7,65.76,0.01,Rain
2/2/2000,56.3,82.2,67.4,31.14,0.01,Rain
2/3/2000,50.6,72.7,60.5,47.45,0,Clear
