Date time,Minimum Temperature,Maximum Temperature,Temperature,Relative Humidity,Precipitation,Conditions
1/1/2000,46,53.3,49.8,81.75,0,Overcast
1/2/2000,39.1,55,46.8,75.95,0,Clear
1/3/2000,39.5,60,49,75.47,0,Partially cloudy
1/4/2000,44.5,60.1,52.4,77.1,0.01,"Rain, Overcast"
1/5/2000,47,66.4,52.3,67.05,0,Partially cloudy
1/6/2000,37.8,53.7,47.1,58.92,0,Partially cloudy
1/7/2000,40.7,53.9,47.3,76.89,0,Partially cloudy
1/8/2000,47.6,55.1,50,90.68,0,Overcast
1/9/2000,46,56.1,50.9,86.18,0,Overcast
1/10/2000,49.6,57.3,52.7,87.96,0,Overcast
1/11/2000,49.7,56.7,53.1,91.22,0.43,"Rain, Overcast"
1/12/2000,43.2,52.6,48.7,86,0,Overcast
1/13/2000,45.6,57.5,51.6,83.97,0.01,"Rain, Partially cloudy"
1/14/2000,46.1,56.6,52,88.31,0,Overcast
1/15/2000,52,60.7,55.5,82.33,0.06,"Rain, Overcast"
1/16/2000,47.8,57.8,53.6,72.61,0.59,"Rain, Partially cloudy"
1/17/2000,46,52.7,49.9,88.15,0.07,"Rain, Overcast"
1/18/2000,50.8,59.6,53.9,93.45,0.66,"Rain, Overcast"
1/19/2000,53.1,60.8,56,93.99,0.11,"Rain, Overcast"
1/20/2000,48.9,57.1,53.2,82.37,0,Partially cloudy
1/21/2000,47.7,59.8,52.9,82.36,0.03,"Rain, Overcast"
1/22/2000,50.1,55.6,52.9,91.28,0.15,"Rain, Overcast"
1/23/2000,52.8,57.2,55.1,94.12,1.27,"Rain, Overcast"
1/24/2000,53.6,57.3,55.3,93.99,1.82,"Rain, Overcast"
1/25/2000,50.3,58.6,53.7,88.78,0.04,"Rain, Overcast"
1/26/2000,46.2,55.3,50.6,80.58,0,Partially cloudy
1/27/2000,45.3,59.9,50.7,81.16,0,Partially cloudy
1/28/2000,41.8,54.9,49.1,81.09,0,Partially cloudy
1/29/2000,45.1,58.1,51.5,78.68,0,Overcast
1/30/2000,51.9,56.2,54.1,80.05,0.46,"Rain, Overcast"
1/31/2000,49.3,54.6,51.6,83.39,0.05,"Rain, Overcast"
2/1/2000,51.7,59.8,54.7,86.57,0,Overcast
2/2/2000,50.4,61.8,54.9,83.52,0,Partially cloudy
2/3/2000,50.2,63,53.6,80.39,0.26,"Rain, Partially cloudy"
2/4/2000,49,59.5,53.5,78.44,0,Overcast
2/5/2000,50.7,57.9,54.9,83.72,0.25,"Rain, Overcast"
2/6/2000,49.2,61.4,53.7,87.82,0,Partially cloudy
2/7/2000,48.5,60.7,52.3,92.81,0,Partially cloudy
2/8/2000,47.5,57,51.7,92.61,0,Partially cloudy
2/9/2000,51.7,57,54,90.02,0.05,"Rain, Overcast"
2/10/2000,47.3,55,53.3,85.58,0.59,"Rain, Partially cloudy"
2/11/2000,47.6,54,50.9,89.3,1.58,"Rain, Overcast"
2/12/2000,47.5,54.6,51.1,87.52,0.21,"Rain, Overcast"
2/13/2000,51,58.9,55.9,90.95,1.39,"Rain, Overcast"
2/14/2000,52.4,60.2,56.9,79.24,0.58,"Rain, Overcast"
2/15/2000,45.5,57,51.9,82.87,0,Partially cloudy
2/16/2000,48.1,53,51.3,82.03,0.14,"Rain, Overcast"
2/17/2000,44,56,49.8,82.95,0,Partially cloudy
2/18/2000,44.9,60.5,52.5,79,0,Partially cloudy
2/19/2000,46.4,63.7,54.5,74.69,0.01,"Rain, Overcast"
2/20/2000,51.2,62.6,56.1,77.39,0.44,"Rain, Overcast"
2/21/2000,49.3,61.4,54.4,75.49,0.14,"Rain, Partially cloudy"
2/22/2000,47.6,55.8,52.1,82.77,1.21,"Rain, Overcast"
2/23/2000,43.6,53,48.2,78.91,0.1,"Rain, Partially cloudy"
2/24/2000,40.6,51.8,46.2,83.33,0.14,"Rain, Overcast"
2/25/2000,46.2,55.4,50.7,82.32,0.02,"Rain, Overcast"
2/26/2000,53.8,59.1,55.3,79.07,0.29,"Rain, Overcast"
2/27/2000,50.4,55.5,53,80.17,0.51,"Rain, Overcast"
2/28/2000,48.5,55.1,51.7,70.22,0,Overcast
2/29/2000,47.9,56.6,51.3,81.56,0.36,"Rain, Overcast"
3/1/2000,42.8,57.9,50.4,81.5,0,Partially cloudy
3/2/2000,48.1,55,50.8,82.63,0.22,"Rain, Overcast"
3/3/2000,43.9,61.2,52,79.75,0,Partially cloudy
3/4/2000,48.7,56.8,52.6,85.22,0.59,"Rain, Overcast"
3/5/2000,47.2,50.4,48.8,81.77,0.1,"Rain, Overcast"
3/6/2000,46.5,56.2,49.9,77.15,0,Overcast
3/7/2000,45.8,53.8,49.2,75.93,0.39,"Rain, Overcast"
3/8/2000,41.3,51.5,46.8,86.19,0.32,"Rain, Overcast"
3/9/2000,47.8,56.8,51.4,80.57,0.19,"Rain, Overcast"
3/10/2000,42.7,60,52.2,75.88,0,Partially cloudy
3/11/2000,50.2,60.4,54.5,80.54,0.07,"Rain, Overcast"
3/12/2000,46.1,61.9,52.7,80.6,0,Partially cloudy
3/13/2000,46.2,61.7,53.9,79.95,0,Partially cloudy
3/14/2000,51.4,66.5,56,87.15,0,Partially cloudy
3/15/2000,46.3,70.1,56.8,67.37,0,Partially cloudy
3/16/2000,49.5,61.6,55.5,70.38,0,Partially cloudy
3/17/2000,43.1,64.8,53.6,68.12,0,Partially cloudy
3/18/2000,47.8,66.5,56.5,69.69,0,Partially cloudy
3/19/2000,48.2,59.4,53.6,74.87,0,Partially cloudy
3/20/2000,47.9,64.2,56,41.65,0,Partially cloudy
3/21/2000,54.6,70.9,61.7,37.93,0,Clear
3/22/2000,47.8,68.8,55.9,70.48,0,Partially cloudy
3/23/2000,46.9,58.3,52.7,77.09,0,Partially cloudy
3/24/2000,42.4,61.3,50.5,73.22,0,Partially cloudy
3/25/2000,46.7,58.8,51.8,74.26,0,Partially cloudy
3/26/2000,45.9,60,51.8,75.47,0,Partially cloudy
3/27/2000,48.6,56.3,52,76.89,0,Partially cloudy
3/28/2000,45.7,58.4,50.5,74.71,0,Partially cloudy
3/29/2000,45.2,62.2,52,74.58,0,Partially cloudy
3/30/2000,43.8,69.5,57.1,59.2,0,Clear
3/31/2000,59.5,75.8,67.8,32.06,0,Clear
4/1/2000,59.4,81.3,69.5,34.06,0,Partially cloudy
4/2/2000,52.6,83,66,52.53,0,Clear
4/3/2000,52.4,67.6,59.5,69.34,0,Clear
4/4/2000,51.8,62,55.7,75.1,0,Partially cloudy
4/5/2000,49.6,61.1,54.1,75.84,0,Partially cloudy
4/6/2000,48.9,61.5,53.7,74.72,0,Partially cloudy
4/7/2000,46.5,66.1,53.9,79.53,0,Partially cloudy
4/8/2000,49.7,57,52.8,79.12,0,Overcast
4/9/2000,50.5,61.5,54.7,72.13,0,Partially cloudy
4/10/2000,47.1,62.8,54.2,76.33,0,Partially cloudy
4/11/2000,48.9,71.2,57.9,74.17,0,Partially cloudy
4/12/2000,53.9,72.3,61.3,65.42,0.31,"Rain, Overcast"
4/13/2000,55.5,65.3,59.5,76.04,0.03,"Rain, Overcast"
4/14/2000,52.8,61.7,56.4,76.75,0.09,"Rain, Overcast"
4/15/2000,53.5,61.8,56.4,71.94,0,Overcast
4/16/2000,54.3,62.1,57.4,74.13,0.41,"Rain, Overcast"
4/17/2000,52,62.3,55.7,71.56,0.4,"Rain, Overcast"
4/18/2000,46.6,63,55,72.06,0,Partially cloudy
4/19/2000,45.9,63.7,55.6,70.63,0,Partially cloudy
4/20/2000,51.2,66.8,57.7,71.45,0,Partially cloudy
4/21/2000,51.5,62.8,55.3,79.86,0,Partially cloudy
4/22/2000,51.2,61.7,55.8,76.79,0.03,"Rain, Partially cloudy"
4/23/2000,48.7,62.2,54.9,66.7,0,Clear
4/24/2000,47,65.7,55,70.1,0,Clear
4/25/2000,49.3,65.3,56.4,74.39,0,Partially cloudy
4/26/2000,48.8,76.9,60.4,62.86,0,Clear
4/27/2000,51.4,63.5,56.2,73.93,0,Partially cloudy
4/28/2000,49.3,60.9,54,60.4,0,Partially cloudy
4/29/2000,45.9,67.6,55.4,66.24,0,Clear
4/30/2000,47.7,66.9,56.3,69.77,0,Clear
5/1/2000,49.8,66.6,57.5,73.4,0.02,"Rain, Partially cloudy"
5/2/2000,52.2,65.9,58.2,84.16,0,Partially cloudy
5/3/2000,51.7,67.5,57.9,77.09,0,Partially cloudy
5/4/2000,53.1,63.9,56.9,71.81,0,Partially cloudy
5/5/2000,51.5,62.7,56.2,71.49,0,Partially cloudy
5/6/2000,50.3,58.4,53.3,74.19,0.03,"Rain, Partially cloudy"
5/7/2000,52.5,60.5,57.2,90.11,0.23,"Rain, Overcast"
5/8/2000,54.8,66,59.4,84.3,0.11,"Rain, Overcast"
5/9/2000,53.4,66.3,57.8,74.94,0,Partially cloudy
5/10/2000,49.4,59.9,54.4,64.44,0,Partially cloudy
5/11/2000,46.7,62.9,54.4,64.09,0,Clear
5/12/2000,45.6,62.3,54.3,68.41,0,Partially cloudy
5/13/2000,50.8,65.3,56.2,65.63,0,Partially cloudy
5/14/2000,50.9,61.9,57.6,75.41,0.08,"Rain, Overcast"
5/15/2000,53.4,63.7,58,73.32,0.21,"Rain, Overcast"
5/16/2000,52.1,61.6,56.6,77.09,0,Overcast
5/17/2000,52.7,67.2,58.4,75.52,0,Partially cloudy
5/18/2000,51.5,73.8,59.8,75.68,0,Clear
5/19/2000,53.1,75.6,62.8,70.3,0,Clear
5/20/2000,53.5,78.9,64.9,69.53,0,Partially cloudy
5/21/2000,59.2,91.4,71.3,60.2,0,Clear
5/22/2000,59,81.2,68.6,61.13,0,Partially cloudy
5/23/2000,62.3,87.8,69.7,67.54,0,Partially cloudy
5/24/2000,55.8,72.1,63.1,72.57,0,Partially cloudy
5/25/2000,52.4,66.4,58.7,66.54,0,Partially cloudy
5/26/2000,52.9,65.7,58.6,81.5,0,Partially cloudy
5/27/2000,54.3,69.9,60.8,79.88,0,Partially cloudy
5/28/2000,54.1,71.4,61.1,71.07,0,Partially cloudy
5/29/2000,51.8,65.5,57.7,66.2,0,Clear
5/30/2000,49.7,66,57.2,64.09,0,Clear
5/31/2000,48.7,74.9,61.2,55.16,0,Clear
6/1/2000,50.6,77.1,62.4,61.25,0,Clear
6/2/2000,51.2,67.2,57.3,73.78,0,Partially cloudy
6/3/2000,51,64.9,56.5,72.76,0,Partially cloudy
6/4/2000,50.2,63.8,56,72.4,0,Partially cloudy
6/5/2000,55.2,68.2,60.4,71.33,0,Partially cloudy
6/6/2000,52.7,68.5,60.4,72.59,0,Clear
6/7/2000,56.4,67.7,61.4,74.93,0.11,"Rain, Overcast"
