Date time,Minimum Temperature,Maximum Temperature,Temperature,Relative Humidity,Precipitation,Conditions
1/1/2000,39.4,44.5,42.2,75.04,0.28,"Rain, Partially cloudy"
1/2/2000,37.3,43.2,39.8,79.3,0.01,"Rain, Partially cloudy"
1/3/2000,36.7,46.9,41.1,89.23,0.23,"Rain, Partially cloudy"
1/4/2000,42.8,49.3,46.3,81.11,0.38,"Rain, Partially cloudy"
1/5/2000,38,44.6,42,82.19,0.02,"Rain, Partially cloudy"
1/6/2000,35,41.6,38.5,83.51,0.03,"Rain, Partially cloudy"
1/7/2000,40.9,46.7,44.7,87.29,0.13,"Rain, Partially cloudy"
1/8/2000,37.1,47.8,44.6,81.41,0.35,"Rain, Partially cloudy"
1/9/2000,37.1,44.4,40.6,78.88,0.26,"Rain, Partially cloudy"
1/10/2000,36.2,37.8,37,91.19,0.22,"Rain, Partially cloudy"
1/11/2000,36.2,38.2,37.1,88.85,0.06,"Rain, Partially cloudy"
1/12/2000,34.9,39.8,37.5,85.12,0.22,"Rain, Partially cloudy"
1/13/2000,37.9,42.4,40.2,88.66,0.11,"Rain, Partially cloudy"
1/14/2000,39.8,45.8,42.1,87.9,0.4,"Rain, Partially cloudy"
1/15/2000,37.7,44.2,41,72.79,0.02,"Rain, Partially cloudy"
1/16/2000,37.5,50.2,43,79.17,0.27,"Rain, Partially cloudy"
1/17/2000,38.4,47.9,43,75.91,0.03,"Rain, Partially cloudy"
1/18/2000,34.5,42.5,38.3,80.01,0,Partially cloudy
1/19/2000,33,43.7,38.5,75.02,0.02,"Rain, Partially cloudy"
1/20/2000,37.1,46.3,41.8,85.05,0.22,"Rain, Partially cloudy"
1/21/2000,40.9,48.8,44.3,86.47,0.21,"Rain, Partially cloudy"
1/22/2000,40.6,46,42.8,86.97,0.04,"Rain, Partially cloudy"
1/23/2000,36.9,45.4,41.1,83.64,0,Partially cloudy
1/24/2000,37.3,46.6,41.7,80.01,0,Partially cloudy
1/25/2000,41.7,47.8,44.3,84.89,0.13,"Rain, Partially cloudy"
1/26/2000,38.1,44.5,41.1,85.03,0,Partially cloudy
1/27/2000,37.5,46.5,41.4,85.01,0,Partially cloudy
1/28/2000,34,45.4,39.3,87.12,0,Clear
1/29/2000,34.5,49.3,41.3,63.24,0,Clear
1/30/2000,35.8,49.1,42.9,57.52,0.03,"Rain, Partially cloudy"
1/31/2000,40,49.7,44,77.89,0.37,"Rain, Partially cloudy"
2/1/2000,43.3,49.8,47.5,94.57,1.28,"Rain, Partially cloudy"
2/2/2000,42.1,46.7,44.4,86.98,0,Partially cloudy
2/3/2000,42.1,53.4,46.7,68.28,0,Partially cloudy
2/4/2000,41.5,51.4,45.9,71.95,0,Partially cloudy
2/5/2000,37.8,51,44,77.92,0.04,"Rain, Partially cloudy"
2/6/2000,45.5,54.4,48.8,83.91,0.04,"Rain, Partially cloudy"
2/7/2000,44.5,51.9,47.9,88.33,0.43,"Rain, Partially cloudy"
2/8/2000,43.1,49.9,47.3,92.69,0.74,"Rain, Partially cloudy"
2/9/2000,40.8,49.8,44.5,78.64,0.02,"Rain, Partially cloudy"
2/10/2000,37.8,46.1,41.4,83.21,0,Partially cloudy
2/11/2000,38.9,47,42.6,83.02,0,Partially cloudy
2/12/2000,39.6,43.2,41.7,85.28,0.01,"Rain, Partially cloudy"
2/13/2000,35.6,47.1,41.7,76.27,0,Partially cloudy
2/14/2000,38.1,43.2,40.4,85.37,0.49,"Rain, Partially cloudy"
2/15/2000,40,47.3,43.4,81.28,0.02,"Rain, Partially cloudy"
2/16/2000,37.6,46.6,41.9,79.3,0,Clear
2/17/2000,32.7,46.9,40.4,78.69,0,Clear
2/18/2000,33.1,46.8,39.9,80.92,0,Partially cloudy
2/19/2000,33.2,53.7,42.6,66.16,0,Clear
2/20/2000,38.2,53.6,46.4,61.51,0.01,"Rain, Partially cloudy"
2/21/2000,43.1,49.3,46.5,93.72,0.24,"Rain, Partially cloudy"
2/22/2000,40.9,49.3,46.1,88.1,0.58,"Rain, Partially cloudy"
2/23/2000,39.5,48.4,43,83.99,0,Partially cloudy
2/24/2000,37.4,47.3,41.8,81.8,0,Partially cloudy
2/25/2000,35.5,46,41.1,81.89,0.29,"Rain, Partially cloudy"
2/26/2000,38.9,49.4,45,84.32,0.22,"Rain, Partially cloudy"
2/27/2000,44.5,52.2,47.1,88.06,0.21,"Rain, Partially cloudy"
2/28/2000,42.9,47.7,45.6,85.39,0.05,"Rain, Partially cloudy"
2/29/2000,43.9,49.5,45.7,92.44,0.75,"Rain, Partially cloudy"
3/1/2000,40.9,46.9,44.6,80.33,0,Partially cloudy
3/2/2000,43.3,51.4,47,87.88,0.33,"Rain, Partially cloudy"
3/3/2000,45,47.8,46.6,92.8,0.28,"Rain, Partially cloudy"
3/4/2000,39.7,45.5,43.3,84.54,0.44,"Rain, Partially cloudy"
3/5/2000,37.8,45.8,42,80.2,0,Partially cloudy
3/6/2000,34.5,48.1,40.9,80.27,0,Partially cloudy
3/7/2000,35.1,50.7,44.1,66.44,0,Partially cloudy
3/8/2000,44.4,48.5,46.1,79.05,0.03,"Rain, Partially cloudy"
3/9/2000,42.7,50.2,45.6,87.24,0.04,"Rain, Partially cloudy"
3/10/2000,37.1,51.9,44.9,81.65,0.12,"Rain, Partially cloudy"
3/11/2000,41.5,47.7,44.6,82.61,0.1,"Rain, Partially cloudy"
3/12/2000,38.4,47.7,43.2,82.89,0,Partially cloudy
3/13/2000,42.7,55.1,48.1,81.14,0.49,"Rain, Partially cloudy"
3/14/2000,40.5,49.6,44.9,82.39,0.17,"Rain, Partially cloudy"
3/15/2000,35.2,50.3,43.7,79.75,0,Partially cloudy
3/16/2000,42.5,51.2,46.8,79.73,0.24,"Rain, Partially cloudy"
3/17/2000,41.9,48,44.6,86.49,0.09,"Rain, Partially cloudy"
3/18/2000,42.7,49.3,46,89.02,0.21,"Rain, Partially cloudy"
3/19/2000,39.5,46.9,42.6,80.74,0.01,"Rain, Partially cloudy"
3/20/2000,35,49.5,42.4,82.09,0,Partially cloudy
3/21/2000,45,54.7,48.6,75.41,0.01,"Rain, Partially cloudy"
3/22/2000,43.2,52.3,47.6,85.44,0.36,"Rain, Partially cloudy"
3/23/2000,40.9,50.6,45.1,76.66,0.02,"Rain, Partially cloudy"
3/24/2000,38.6,51.6,45.2,77.57,0,Partially cloudy
3/25/2000,41.6,50.1,45.7,79.87,0,Partially cloudy
3/26/2000,38.4,56.6,47.6,74.08,0,Partially cloudy
3/27/2000,43.8,50.4,47.4,82.5,0.05,"Rain, Partially cloudy"
3/28/2000,39.9,49.7,43.9,79.94,0.01,"Rain, Partially cloudy"
3/29/2000,38.5,50.6,44.2,74.4,0.04,"Rain, Partially cloudy"
3/30/2000,38.3,55.1,47.1,70.87,0,Clear
3/31/2000,44.5,58.4,50.6,68.42,0,Partially cloudy
4/1/2000,47.3,58.5,52.5,76.24,0,Partially cloudy
4/2/2000,44.3,59.2,50.8,83.04,0,Clear
4/3/2000,45.2,64.5,52.4,81.04,0,Partially cloudy
4/4/2000,43.2,50.8,47.4,79.44,0.03,"Rain, Partially cloudy"
4/5/2000,42,49.6,45.5,75.05,0.01,"Rain, Partially cloudy"
4/6/2000,40.5,50.4,45.2,78.59,0.08,"Rain, Partially cloudy"
4/7/2000,39.8,59.1,48.4,70.5,0,Partially cloudy
4/8/2000,45.1,58.8,51.3,71.46,0,Partially cloudy
4/9/2000,47.7,55,50.9,81.07,0,Partially cloudy
4/10/2000,45,58.8,51.7,78.98,0,Partially cloudy
4/11/2000,46.5,61.9,54,76.71,0,Partially cloudy
